1 | Kazumi Himekawa | Welcome to Pia Carrot!! G.O. ~ Grand Open ~ | female | eroge
38 | Marina Houjuu | EVE ~New Generation X~ | female | eroge
39 | Michael Belstein | EVE ~New Generation X~ | male | eroge
40 | Minayo Shoumoto | EVE ~New Generation X~ | female | eroge
41 | Miroku Himuro | EVE ~New Generation X~ | female | eroge
42 | Noi | EVE ~New Generation X~ | female | eroge
43 | Saburou Kouno | EVE ~New Generation X~ | male | eroge
44 | Yayoi Katsuragi | EVE ~New Generation X~ | female | eroge
45 | Haruko Kamio | Air | female | visual
46 | Hijiri Kirishima | Air | female | visual
47 | Keisuke Tachibana | Air | male | visual
48 | Kano Kirishima | Air | female | visual
49 | Michiru | Air | female | visual
50 | Minagi Tohno | Air | female | visual
51 | Misuzu Kamio | Air | female | visual
52 | Yukito Kunisaki | Air | male | visual
53 | Kouko Ibuki | Clannad | female | visual
54 | Fuuko Ibuki | Clannad | female | visual
55 | Kotomi Ichinose | Clannad | female | visual
56 | Yukine Miyazawa | Clannad | female | visual
57 | Akio Furukawa | Clannad | male | visual
58 | Nagisa Furukawa | Clannad | female | visual
59 | Sanae Furukawa | Clannad | female | visual
60 | Tomoyo Sakagami | Clannad | female | visual
61 | Mei Sunohara | Clannad | female | visual
62 | Misae Sagara | Clannad | female | visual
63 | Kyou Fujibayashi | Clannad | female | visual
64 | Ryou Fujibayashi | Clannad | female | visual
65 | Haruka Saigusa | Little Busters! | female | eroge
66 | Komari Kamikita | Little Busters! | female | eroge
67 | Mio Nishizono | Little Busters! | female | eroge
68 |  | Little Busters! | female | eroge
69 | Yuiko Kurugaya | Little Busters! | female | eroge
70 | Rin Natsume | Little Busters! | female | eroge
71 | Rinka Hokazono | Gift | female | eroge
72 | Miyu Akihara | Gift -prism- | female | visual
73 | Riko Fukamine | Gift | female | eroge
74 | Yukari Kamishiro | Gift | female | eroge
75 | Sena Asakawa | Gift -prism- | female | visual
76 | Chisa Fujimiya | Gift | female | eroge
77 | Nene Himekura | Gift -prism- | female | visual
78 | Kirino Konosaka | Gift | female | eroge
79 | Adiramu | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
80 | Amura | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
81 | Fonfon | Lightning Warrior Raidy | female | eroge
82 | Forres | Lightning Warrior Raidy | female | eroge
83 | Gyabu | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | male | eroge
84 | Horun | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
85 | Shai | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
86 | Jami | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
87 | Shura | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
88 | Kurei | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
89 | Kyamiru | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
90 | Muriel | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
91 | Raidy | Lightning Warrior Raidy | female | eroge
92 | Rejiru | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
93 | Replicant | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
94 | Resuti | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
95 | Rose | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
96 | Setia | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
97 | Sudia | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
98 | Tisu | Lightning Warrior Raidy | female | eroge
99 | Chamusu | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
100 | Shizuku Kurenai | Lightning Warrior Raidy 2 : ~ Temple Of Desire ~ | female | eroge
101 | Yuu Kanakogi | Koitore ~Ren-Ai Training~ | female | eroge
102 | Haato Kohinata | Koitore ~Ren-Ai Training~ | female | eroge
103 | Komoe Asaka | Koitore ~Ren-Ai Training~ | female | eroge
104 | Utaha Sawazaki | Koitore ~Ren-Ai Training~ | female | eroge
105 | Kouko Homura | Koitore ~Ren-Ai Training~ | female | eroge
106 | Akiko Minase | Kanon | female | visual
107 | Ayu Tsukimiya | Kanon | female | visual
108 | Kaori Misaka | Kanon | female | visual
109 | Jun Kitagawa | Kanon | male | visual
110 | Mai Kawasumi | Kanon | female | visual
111 | Makoto Sawatari | Kanon | female | visual
112 | Mishio Amano | Kanon | female | visual
113 | Nayuki Minase | Kanon | female | visual
114 | Sayuri Kurata | Kanon | female | visual
115 | Shiori Misaka | Kanon | female | visual
116 | Yuma Shichiri | HoneyComing | female | eroge
117 | Mio Ogata | HoneyComing | female | eroge
118 | Asahi Kamijou | HoneyComing | female | eroge
119 | Satsuki Clarissa Maezono 'Clair' | HoneyComing | female | eroge
120 | Marino Tagaya | HoneyComing | female | eroge
121 | Hinata Futaba | Hoshiful ~Seitou Gakuen Tenmon Doukoukai~ | female | eroge
122 | Ruka Hoshikawa | Hoshiful ~Seitou Gakuen Tenmon Doukoukai~ | female | eroge
123 | Kotone Kusuhara | Hoshiful ~Seitou Gakuen Tenmon Doukoukai~ | female | eroge
124 | Ryumi Suzuki | Hoshiful ~Seitou Gakuen Tenmon Doukoukai~ | female | eroge
125 | Mizuki Takatsuka | Hoshiful ~Seitou Gakuen Tenmon Doukoukai~ | female | eroge
126 | Yukari Fujimi | Tsukushite Agerunoni! | female | eroge
127 | Koharu Hachizuka | Tsukushite Agerunoni! | female | eroge
128 | Konatsu Hachizuka | Tsukushite Agerunoni! | female | eroge
129 | Mituki Irie | Tsukushite Agerunoni! | female | eroge
130 | Nana Irie | Tsukushite Agerunoni! | female | eroge
131 | Tsukasa Mochizuki | Tsukushite Agerunoni! | female | eroge
132 | Kaede Ookoshi | Tsukushite Agerunoni! | female | eroge
133 | Kazushi Ookoshi | Tsukushite Agerunoni! | male | eroge
134 | Sakurai Suzuka | Tsukushite Agerunoni! | female | eroge
135 | Ikuya Daidouji | Koi-iro Chu Lips | male | eroge
136 | Mirai Ichinose | Koi-iro Chu Lips | female | eroge
137 | Karen Kamimoto | Koi-iro Chu Lips | female | eroge
138 | Misaki Kasuga | Koi-iro Chu Lips | female | eroge
139 | Yuu Kouda | Koi-iro Chu Lips | female | eroge
140 | Shizuku Manabe | Koi-iro Chu Lips | female | eroge
141 | Nagisa Miyatsuka | Koi-iro Chu Lips | female | eroge
142 | Rinka Mochizuki | Koi-iro Chu Lips | female | eroge
143 | Mei Yozakura | Koi-iro Chu Lips | female | eroge
144 | Masato Doi | Tsukushite Ageruno! ~Datte Onii-chan no Oyome-san ni Naritaindamon~ | male | eroge
145 | Yui Matsutouya | Tsukushite Ageruno! ~Datte Onii-chan no Oyome-san ni Naritaindamon~ | female | eroge
146 | Ehon Nonohara | Tsukushite Ageruno! ~Datte Onii-chan no Oyome-san ni Naritaindamon~ | female | eroge
147 | Megumi Sudou | Tsukushite Ageruno! ~Datte Onii-chan no Oyome-san ni Naritaindamon~ | female | eroge
148 | Nano Tachibana | Tsukushite Ageruno! ~Datte Onii-chan no Oyome-san ni Naritaindamon~ | female | eroge
149 | Nashi Torii | Tsukushite Ageruno! ~Datte Onii-chan no Oyome-san ni Naritaindamon~ | female | eroge
150 | Hazuki Wakamiya | Tsukushite Ageruno! ~Datte Onii-chan no Oyome-san ni Naritaindamon~ | female | eroge
151 | Maria Wakamiya | Tsukushite Ageruno! ~Datte Onii-chan no Oyome-san ni Naritaindamon~ | female | eroge
152 | Koyuki Kusakabe | Towa Koku | female | eroge
153 | Setsuna | Towa Koku | female | eroge
154 | Hijiri Tsukimura | Towa Koku | female | eroge
155 | Miyabi Tsukimura | Towa Koku | female | eroge
156 | Chihiro Midou | Ina☆koi ! ~ Oinarisama to Motemote no Tatari ~ | female | eroge
157 | Hiina Kujou | Ina☆koi ! ~ Oinarisama to Motemote no Tatari ~ | female | eroge
158 | Kijurou Yagami | Ina☆koi ! ~ Oinarisama to Motemote no Tatari ~ | male | eroge
159 | Kuzuha | Ina☆koi ! ~ Oinarisama to Motemote no Tatari ~ | female | eroge
160 | Mutsuki Kamishiro | Ina☆koi ! ~ Oinarisama to Motemote no Tatari ~ | female | eroge
161 | Sarasa Haruhi | Ina☆koi ! ~ Oinarisama to Motemote no Tatari ~ | female | eroge
162 | Erisu Asou | Meikuru! ~Welcome to Happy Maid Life!!~ | female | eroge
163 | Blanche | Meikuru! ~Welcome to Happy Maid Life!!~ | female | eroge
164 | Mii Komura | Meikuru! ~Welcome to Happy Maid Life!!~ | female | eroge
165 | Ririna Albertlola | Meikuru! ~Welcome to Happy Maid Life!!~ | female | eroge
166 | Mao Shirahi | Meikuru! ~Welcome to Happy Maid Life!!~ | female | eroge
167 | Ruri Sorawatari | Meikuru! ~Welcome to Happy Maid Life!!~ | female | eroge
168 | Zin Touma | Meikuru! ~Welcome to Happy Maid Life!!~ | male | eroge
169 | Suiren Yakushiji | Meikuru! ~Welcome to Happy Maid Life!!~ | female | eroge
170 | Ion Hinamori | Meikuru! ~Welcome to Happy Maid Life!!~ | female | eroge
171 | Tamako Konishi | Sorauta | female | eroge
172 | Mana Nagasumi | Sorauta | female | eroge
173 | Chika Sakura | Sorauta | female | eroge
174 | Aoi Setouchi | Sorauta | female | eroge
175 | Mio Yuunagi | Sorauta | female | eroge
176 | Miren Sakurano | Kimihagu | female | eroge
177 | Madoka Serazawa | Kimihagu | female | eroge
178 | Kasumi Shiina | Kimihagu | female | eroge
179 | Emiri Yuuki | Kimihagu | female | eroge
180 | Minami Yuzuki | Kimihagu | female | eroge
181 | Chizuru Kumotani | Boy Meets Girl | female | eroge
182 | Haruna Kasugano | Boy Meets Girl | female | eroge
183 | Mao Shingyouji | Boy Meets Girl | female | eroge
184 | Miu Tsubasa | Boy Meets Girl | female | eroge
185 | Nanami Souma | Boy Meets Girl | female | eroge
186 | Asahi Hiyorigawa | Snow | female | eroge
187 | Shigure Kitazato | Snow | female | eroge
188 | Meiko Tachibana | Snow | female | eroge
189 | Ouka Wakou | Snow | female | eroge
190 | Sumino Yukizumi | Snow | female | eroge
191 | Mysterious girl | Snow | female | eroge
192 | Anise Azeat | Galaxy Angel | female | video
193 | Almo Blueberry | Galaxy Angel | female | video
194 | Chitose Karasuma | Galaxy Angel | female | video
195 | Coco Nutmilk | Galaxy Angel | female | video
196 | Coronet Choucroute | Galaxy Angel | female | video
197 | Croix Blort | Galaxy Angel | male | video
198 | Forte Stollen | Galaxy Angel | female | video
199 | Kahlua Marjoram | Galaxy Angel | female | video
200 | Kazuya Shiranami | Galaxy Angel | male | video
201 | Kelsie | Galaxy Angel | female | video
202 | Lily C Sherbet | Galaxy Angel | female | video
203 | Lunti Fiadone | Galaxy Angel | male | video
204 | Melba Brownie | Galaxy Angel | female | video
205 | Milfeulle Sakuraba | Galaxy Angel | female | video
206 | Mint Blancmanche | Galaxy Angel | female | video
207 | Mordent Bagel | Galaxy Angel | male | video
208 | Nano-nano Pudding | Galaxy Angel | female | video
209 | Noa | Galaxy Angel | female | video
210 | Soldum Seldor | Galaxy Angel | male | video
211 | Ranpha Franboise | Galaxy Angel | female | video
212 | Lester Cooldaras | Galaxy Angel | male | video
213 | Santa Rosa | Galaxy Angel | female | video
214 | Maria Steline | Galaxy Angel | female | video
215 | Tact Mayers | Galaxy Angel | male | video
216 | Vanilla H | Galaxy Angel | female | video
217 | Apricot Sakuraba | Galaxy Angel | female | video
218 | Nami Satonaka | Akibako ~''Shiritsu Akihabara Gakuen'' Fandisk~ | female | eroge
219 | Aries | Makai Tenshi DJibril 2 | female | eroge
220 | Djibril | Makai Tenshi DJibril 2 | female | eroge
221 | Hikari Jinno | Makai Tenshi DJibril 2 | female | eroge
222 | Luvriel | Makai Tenshi DJibril 2 | female | eroge
223 | Rika Manabe | Makai Tenshi DJibril 2 | female | eroge
224 | Meimi Otonashi | Makai Tenshi DJibril 2 | female | eroge
225 | Misty Mei | Makai Tenshi DJibril 2 | female | eroge
226 | Devil Rococo | Makai Tenshi DJibril 2 | female | eroge
227 | Fauna | Megachu! -Megamisama Chuuihou- | female | eroge
228 | Jordh | Megachu! -Megamisama Chuuihou- | female | eroge
229 | Klotho Suroto | Megachu! -Megamisama Chuuihou- | female | eroge
230 | Kurosaki Natsuki | Megachu! -Megamisama Chuuihou- | female | eroge
231 | Leukothea | Megachu! -Megamisama Chuuihou- | female | eroge
232 | Ayumu | Time Leap | female | eroge
233 | Yuu Hayama | Time Leap | female | eroge
234 | Haruka Kawasumi | Time Leap | female | eroge
235 | Ayumu Nagase | Time Leap | female | eroge
236 | Komomo Shinonome | Time Leap | female | eroge
237 | Touji Aoki | Nagomibako Innocent Grey Fandisc | male | eroge
238 | Takako Ayasaki | Nagomibako Innocent Grey Fandisc | female | eroge
239 | Kazuna Kouzuki | Nagomibako Innocent Grey Fandisc | female | eroge
240 | Yura Kouzuki | Nagomibako Innocent Grey Fandisc | female | eroge
241 | Qwon Mikanagi | Nagomibako Innocent Grey Fandisc | female | eroge
242 | Shiori Minami | Nagomibako Innocent Grey Fandisc | female | eroge
243 | Rin | Nagomibako Innocent Grey Fandisc | female | eroge
244 | Ayane Shirakawa | Nagomibako Innocent Grey Fandisc | female | eroge
245 | Mikage Tachibana | Nagomibako Innocent Grey Fandisc | female | eroge
246 | Nana Takashiro | Nagomibako Innocent Grey Fandisc | female | eroge
247 | Shugo Takashiro | Nagomibako Innocent Grey Fandisc | male | eroge
248 | Ayane | Cast Away...Airan Island | female | anime
249 | Chikage | Cast Away...Airan Island | female | anime
250 | Ikuto Touhouin | Cast Away...Airan Island | male | anime
251 | Machi | Cast Away...Airan Island | female | anime
252 | Rin | Cast Away...Airan Island | female | anime
253 | Suzu | Cast Away...Airan Island | female | anime
254 | Yukino | Cast Away...Airan Island | female | anime
255 | Cynthia Ayanokouji | Akihabara Otaku School | female | eroge
256 | Aya Kannagi | Akihabara Otaku School | female | eroge
257 | Mariko Murai | Akihabara Otaku School | female | eroge
258 | Nami Satonaka | Akihabara Otaku School | female | eroge
259 | Kotomi Touma | Akihabara Otaku School | female | eroge
260 | Chihaya Shuzenji | Seperate Blue | female | eroge
261 | Hiwako Tsunoda | Seperate Blue | female | eroge
262 | Misui Tsurudo | Seperate Blue | female | eroge
263 | Otona Maruishi | Seperate Blue | female | eroge
264 | Tsubame Ishibashi | Seperate Blue | female | eroge
265 | Hiromi Hasuda | Yukiuta | female | eroge
266 | Mahiro Aoshima | Yukiuta | female | eroge
267 | Nano Hasegawa | Yukiuta | female | eroge
268 | Setsuna Fujimi | Yukiuta | female | eroge
269 | Yuki Imai | Yukiuta | female | eroge
270 | Vivian Turkish | Men At Work 1 | female | eroge
271 | Iris Penna | Men At Work 1 | female | eroge
272 | Karua Siphon | Men At Work 1 | female | eroge
273 | Misty Citron | Men At Work 1 | female | eroge
274 | Renshia Fullcity | Men At Work 1 | female | eroge
275 | Tira Pompadour | Men At Work 1 | female | eroge
276 | Minatsu Amakase | D.C. II ~Da Capo II~ | female | anime
277 | Otome Asakura | D.C. II ~Da Capo II~ | female | anime
278 | Yume Asakura | D.C. II ~Da Capo II~ | female | anime
279 | Akane Hanasaki | D.C. II ~Da Capo II~ | female | anime
280 | Wataru Itabashi | D.C. II ~Da Capo II~ | male | anime
281 | Shin Kohinata | D.C. II ~Da Capo II~ | male | eroge
282 | Yuzu Kohinata | D.C. II ~Da Capo II~ | female | eroge
283 | Mayuki Kousaka | D.C. II ~Da Capo II~ | female | anime
284 | Maika Mizukoshi | D.C. II ~Da Capo II~ | female | anime
285 | Mu | D.C. II ~Da Capo II~ | female | anime
286 | Maya Sawai | D.C. II ~Da Capo II~ | female | anime
287 |  | D.C. II ~Da Capo II~ | female | anime
288 | Suginami | D.C. II ~Da Capo II~ | male | anime
289 | Koko Tsukishima | D.C. II ~Da Capo II~ | female | anime
290 | Sakura Yoshino | D.C. II ~Da Capo II~ | female | anime
291 | Anzu Yukimura | D.C. II ~Da Capo II~ | female | anime
292 | Alice | Ao Zameta Tsuki no Hikari | female | eroge
293 | Anon | Ao Zameta Tsuki no Hikari | male | eroge
294 | Armaiti | Ao Zameta Tsuki no Hikari | female | eroge
295 | Amaterasu | Izumo | female | eroge
296 | Ayaka Tachibana | Izumo | female | eroge
297 | Hikaru Touma | Izumo | male | eroge
298 | Miyuki Touma | Izumo | female | eroge
299 | Nagisa Kurashima | Izumo | female | eroge
300 | Nanami Minase | Izumo | female | eroge
301 | Rokusuke Touma | Izumo | male | eroge
302 | Rumi Sakashita | Izumo | female | eroge
303 | Satori | Izumo | male | eroge
304 | Susanoh | Izumo | male | eroge
305 | Cathrine | Wind of Ebenbourg | female | eroge
306 | Charlotte | Wind of Ebenbourg | female | eroge
307 | Claude | Wind of Ebenbourg | male | eroge
308 | Emma | Wind of Ebenbourg | female | eroge
309 | Mylene | Wind of Ebenbourg | female | eroge
310 | Rosalie | Wind of Ebenbourg | female | eroge
311 | Sophie | Wind of Ebenbourg | female | eroge
312 | Fei Rei | Kurenai no Namida | male | eroge
313 | Huamei | Kurenai no Namida | female | eroge
314 | Lanfei | Kurenai no Namida | female | eroge
315 | Meiling | Kurenai no Namida | female | eroge
316 | Nanase Senshuuin | Kurenai no Namida | female | eroge
317 | Aoi Hinata | Men At Work 2 ~ Welcome to Hunter Academy ~ | female | eroge
318 | Cliff Winston | Men At Work 2 ~ Welcome to Hunter Academy ~ | male | eroge
319 | Kitty Saifon | Men At Work 2 ~ Welcome to Hunter Academy ~ | female | eroge
320 | Mina Winston | Men At Work 2 ~ Welcome to Hunter Academy ~ | female | eroge
321 | Lucy Fuuke | Men At Work 2 ~ Welcome to Hunter Academy ~ | female | eroge
322 | Sheryl Winzar | Men At Work 2 ~ Welcome to Hunter Academy ~ | female | eroge
323 | Ayumi Mikage | Yuki no Tokeru Koro ni... | female | eroge
324 | Masato Hoshino | Yuki no Tokeru Koro ni... | male | eroge
325 | Mizuki Hoshino | Yuki no Tokeru Koro ni... | female | eroge
326 | Tsukasa Shinohara | Yuki no Tokeru Koro ni... | male | eroge
327 | Melty | TenAku ~Angel and Devil~ | female | eroge
328 | Milly | TenAku ~Angel and Devil~ | female | eroge
329 | Shouichi Okita | TenAku ~Angel and Devil~ | male | eroge
330 | Shouko Okita | TenAku ~Angel and Devil~ | female | eroge
331 | Kurumi Manabe | School Paradise!! | female | eroge
332 | Kyouko Seto | School Paradise!! | female | eroge
333 | Midori Shihoudou | School Paradise!! | female | eroge
334 | Misora Nonomura | School Paradise!! | female | eroge
335 | Momiji Tsushima | School Paradise!! | female | eroge
336 | Sakura | School Paradise!! | female | eroge
337 | Seiji Inoue | School Paradise!! | male | eroge
338 | Sumire Kouenji | School Paradise!! | female | eroge
339 | Chigusa Fukami | School Paradise!! | female | eroge
340 | Tokiwa Katou | School Paradise!! | male | eroge
341 | Wakaba Hirose | School Paradise!! | female | eroge
342 | Irene | Vagrants | female | eroge
343 | Mye | Vagrants | female | eroge
344 | Emilia | Vagrants | female | eroge
345 | Giselle | Vagrants | female | eroge
347 | Keika Otowa | Natsu Kagura | female | eroge
348 | Mikiya Takimine | Natsu Kagura | male | eroge
349 | Natsu | Natsu Kagura | female | eroge
350 | Youko Otoha | Natsu Kagura | female | eroge
351 | Gilbert McBein | Men At Work 3 ~Hunter-tachi no Seishun~ | male | eroge
352 | Irwin Oakwood | Men At Work 3 ~Hunter-tachi no Seishun~ | male | eroge
353 | Jair Eden | Men At Work 3 ~Hunter-tachi no Seishun~ | male | eroge
354 | Loretta Stone | Men At Work 3 ~Hunter-tachi no Seishun~ | female | eroge
355 | Marion Weinberg | Men At Work 3 ~Hunter-tachi no Seishun~ | female | eroge
356 | Yamato Takekura | Aneimo Neo Second Sisters | male | visual
357 | Miriam Sinclair | Men At Work 3 ~Hunter-tachi no Seishun~ | female | eroge
358 | Ryudo Takeda | Men At Work 3 ~Hunter-tachi no Seishun~ | male | eroge
359 | Justine Cleighton | Men At Work 3 ~Hunter-tachi no Seishun~ | female | eroge
360 | Lisa Earhart | Men At Work 3 ~Hunter-tachi no Seishun~ | female | eroge
361 | Mizuho Ayanokouji | Men At Work 3 ~Hunter-tachi no Seishun~ | female | eroge
362 | Monica Albright | Men At Work 3 ~Hunter-tachi no Seishun~ | female | eroge
363 | Phyllis Siphon | Men At Work 3 ~Hunter-tachi no Seishun~ | female | eroge
364 | Ryle Ainsworth | Men At Work 3 ~Hunter-tachi no Seishun~ | male | eroge
365 | Arashi Kazama | Trouble Days | male | eroge
366 | Aya Kiryuu | Trouble Days | female | eroge
367 | Haru Hinata | Trouble Days | male | eroge
368 | Jigoku Kouenji | Trouble Days | male | eroge
369 | Maki Kiryuu | Trouble Days | female | eroge
370 | Seina Abe | Trouble Days | female | eroge
371 | Shigure Sugekasamatsu | Trouble Days | male | eroge
372 | Tsukimi Kisugi | Trouble Days | female | eroge
373 | Yuki Koizumi | Trouble Days | female | eroge
374 | Haruka Amamiya | Niji wo Mitsuketara Oshiete | female | eroge
375 | Otomi Sakai | Niji wo Mitsuketara Oshiete | female | eroge
376 | Sui | Niji wo Mitsuketara Oshiete | female | eroge
377 | Yuuki Shinkai | Niji wo Mitsuketara Oshiete | female | eroge
378 | Atla | Saint Seiya: The Lost Canvas - Myth of Hades | male | original
379 | Byakko | Izumo 2 Gakuen Kyousoukyoku | female | eroge
380 | Fusa | Izumo 2 Gakuen Kyousoukyoku | female | eroge
381 | Genbu | Izumo 2 Gakuen Kyousoukyoku | female | eroge
382 | Himiko | Izumo 2 Gakuen Kyousoukyoku | female | eroge
383 | Ikko | Izumo 2 Gakuen Kyousoukyoku | female | eroge
384 | Cheshire | Saint Seiya: The Lost Canvas - Myth of Hades | male | original
385 | Mai Kitagawa | Izumo 2 Gakuen Kyousoukyoku | female | eroge
386 | Migiwa | Izumo 2 Gakuen Kyousoukyoku | female | eroge
387 | Nagi | Izumo 2 Gakuen Kyousoukyoku | female | eroge
388 | Ninigi | Izumo 2 Gakuen Kyousoukyoku | male | eroge
389 | Edward | Saint Seiya: The Lost Canvas - Myth of Hades | male | original
390 | Seiryu | Izumo 2 Gakuen Kyousoukyoku | female | eroge
391 | Billy Fisher | The Adventures of Tom Sawyer | male | anime
392 | Suzaku | Izumo 2 Gakuen Kyousoukyoku | female | eroge
393 | Agasha | Saint Seiya: The Lost Canvas - Myth of Hades | female | original
394 | Pope Sage | Saint Seiya: The Lost Canvas - Myth of Hades | male | original
395 | Chikage | Tail Tale | female | eroge
396 | Chiki | Tail Tale | female | eroge
397 | Ginta | Tail Tale | male | eroge
398 | Iori | Tail Tale | female | eroge
399 | Koma | Tail Tale | female | eroge
400 | Min | Tail Tale | female | eroge
401 | Nihei | Tail Tale | male | eroge
402 | Ruruko | Tail Tale | female | eroge
403 | Shino | Tail Tale | female | eroge
404 | Soro | Tail Tale | female | eroge
405 | Amon | Twins ~ Maou no Musume-tachi ~ | male | eroge
406 | Chilul | Twins ~ Maou no Musume-tachi ~ | female | eroge
407 | Jem | Twins ~ Maou no Musume-tachi ~ | female | eroge
408 | Serenn | Twins ~ Maou no Musume-tachi ~ | female | eroge
409 | Tina | Twins ~ Maou no Musume-tachi ~ | female | eroge
410 | Ayano Kirisaki | Izumo Zero | female | eroge
411 | Gorou Fujita | Izumo Zero | male | eroge
412 | Gensai Shiranui | Izumo Zero | male | eroge
413 | Shunsuke Hanayama | Izumo Zero | male | eroge
414 | Kazuto Nagamine | Izumo Zero | male | eroge
415 | Gorou Kiriya | Izumo Zero | male | eroge
416 | Kijimuna | Izumo Zero | male | eroge
417 | Misono Uesugi | Izumo Zero | female | eroge
418 | Moyu Tamagi | Izumo Zero | female | eroge
419 | Sayori | Izumo Zero | female | eroge
420 | Souichirou Sawagi | Izumo Zero | male | eroge
421 | Tagiri | Izumo Zero | female | eroge
422 | Tagitsu | Izumo Zero | female | eroge
423 | Toranosuke Yamada | Izumo Zero | male | eroge
424 | Uzume | Izumo Zero | female | eroge
425 | Yoshino Kirisaki | Izumo Zero | female | eroge
426 | Youko Nagamine | Izumo Zero | female | eroge
427 | Kurohime | Puni Puni Handmaid | female | eroge
428 | Mau | Puni Puni Handmaid | female | eroge
429 | Mei | Puni Puni Handmaid | female | eroge
430 | Meiling | Puni Puni Handmaid | female | eroge
431 | Miss M | Puni Puni Handmaid | female | eroge
432 | Pochiko | Puni Puni Handmaid | female | eroge
433 | Tamamo no Mae | Puni Puni Handmaid | female | eroge
434 | Tonbo | Puni Puni Handmaid | female | eroge
435 | Yui | Puni Puni Handmaid | female | eroge
436 | Yukiko | Puni Puni Handmaid | female | eroge
437 | Anna Kurano | Americano Please | female | eroge
438 | Miyu Kurano | Americano Please | female | eroge
439 | Yukiko Kirishima | Americano Please | female | eroge
440 | Ayumi Kakizaki | Americano Please | female | eroge
441 | Misaki Kakizaki | Americano Please | female | eroge
442 | Akira Yamanami | Successor of Wind | female | eroge
443 | Kouji Saijou | Successor of Wind | male | eroge
444 | Makoto Yamanami | Successor of Wind | female | eroge
